CustomerID,Country,AcquisitionChannel,SignupDate
C10131,UK,Organic,2026-01-03
C10132,Spain,Referral,2026-02-08
C10133,France,Email,2025-11-04
C10134,UK,Referral,2025-05-16
C10135,Italy,Organic,2026-01-02
C10136,France,Organic,2025-11-23
C10137,France,Organic,2025-04-23
C10138,UK,Email,2025-01-26
C10139,Germany,Email,2026-05-23
C10140,UK,Affiliate,2025-09-28
C10141,France,Referral,2026-04-08
C10142,UK,Paid Search,2025-11-02
C10143,UK,Affiliate,2025-01-06
C10144,UK,Social,2026-03-08
C10145,UK,Organic,2026-05-07
C10146,Netherlands,Organic,2025-08-31
C10147,Netherlands,Email,2025-05-16
C10148,UK,Email,2026-06-02
C10149,Netherlands,Referral,2025-11-07
C10150,UK,Organic,2026-03-22
C10151,UK,Social,2025-08-12
C10152,France,Referral,2026-02-04
C10153,Netherlands,Email,2026-05-24
C10154,Germany,Email,2025-09-20
C10155,UK,Affiliate,2026-01-19
C10156,Germany,Social,2025-11-22
C10157,Spain,Email,2025-07-01
C10158,Germany,Affiliate,2026-02-01
C10159,Spain,Referral,2025-12-04
C10160,Italy,Organic,2025-07-19
C10161,Italy,Email,2025-02-08
C10162,Germany,Organic,2026-02-02
C10163,France,Social,2025-01-31
C10164,UK,Affiliate,2025-02-02
C10165,Italy,Paid Search,2026-02-27
C10166,Italy,Organic,2025-12-29
C10167,Spain,Email,2025-03-12
C10168,Germany,Email,2025-10-08
C10169,UK,Organic,2025-07-05
C10170,UK,Affiliate,2025-11-20
C10171,UK,Paid Search,2026-05-20
C10172,UK,Organic,2025-06-11
C10173,UK,Paid Search,2025-05-25
C10174,Germany,Organic,2025-11-15
C10175,Spain,Organic,2026-02-23
C10176,UK,Paid Search,2025-03-15
C10177,Germany,Paid Search,2025-11-12
C10178,Spain,Email,2025-03-31
C10179,UK,Organic,2025-03-25
C10180,Germany,Social,2025-10-27
C10181,France,Referral,2025-08-28
C10182,UK,Referral,2026-06-10
C10183,UK,Social,2025-01-13
C10184,France,Referral,2025-12-28
C10185,UK,Email,2025-09-10
C10186,France,Social,2025-03-18
C10187,Germany,Social,2026-04-25
C10188,UK,Referral,2026-01-06
C10189,UK,Paid Search,2026-01-20
C10190,Italy,Social,2025-12-20
C10191,France,Social,2026-05-09
C10192,UK,Social,2025-04-19
C10193,Netherlands,Email,2025-05-29
C10194,UK,Paid Search,2025-04-14
C10195,Italy,Email,2025-05-19
C10196,Netherlands,Organic,2026-05-31
C10197,France,Organic,2026-04-27
C10198,Italy,Email,2026-01-23
C10199,Germany,Referral,2025-01-03
C10200,Germany,Organic,2026-06-11
C10201,Italy,Paid Search,2025-10-20
C10202,Italy,Social,2025-05-29
C10203,UK,Social,2025-06-24
C10204,Spain,Paid Search,2025-09-29
C10205,Germany,Paid Search,2026-06-01
C10206,Italy,Email,2025-03-17
C10207,Netherlands,Social,2025-08-17
C10208,Italy,Email,2025-04-04
C10209,Netherlands,Email,2025-06-24
C10210,UK,Social,2025-04-02
C10211,UK,Paid Search,2026-06-17
C10212,Italy,Social,2025-06-26
C10213,Germany,Paid Search,2026-02-25
C10214,Spain,Paid Search,2025-04-01
C10215,UK,Paid Search,2025-04-02
C10216,Germany,Paid Search,2025-12-02
C10217,UK,Social,2026-01-16
C10218,Spain,Paid Search,2026-01-08
C10219,France,Organic,2025-06-15
C10220,UK,Organic,2025-03-21
C10221,France,Paid Search,2026-05-11
C10222,Spain,Paid Search,2025-07-05
C10223,UK,Email,2026-05-09
C10224,France,Organic,2025-05-15
C10225,Italy,Organic,2025-02-17
C10226,UK,Organic,2026-02-28
C10227,Netherlands,Email,2025-07-11
C10228,UK,Social,2025-04-13
C10229,Spain,Organic,2025-03-22
C10230,UK,Organic,2026-05-09
C10231,Germany,Email,2026-04-23
C10232,UK,Organic,2026-03-10
C10233,Germany,Organic,2026-06-07
C10234,Italy,Affiliate,2026-04-23
C10235,UK,Organic,2025-11-27
C10236,UK,Social,2026-04-28
C10237,Netherlands,Affiliate,2025-11-22
C10238,Germany,Social,2026-02-04
C10239,Germany,Referral,2025-09-19
C10240,Netherlands,Organic,2026-03-23
C10241,Italy,Social,2026-03-05
C10242,Spain,Social,2025-07-05
C10243,Germany,Social,2025-08-24
C10244,UK,Organic,2026-06-23
C10245,UK,Email,2025-01-03
C10246,Spain,Social,2025-02-13
C10247,Netherlands,Email,2025-02-08
C10248,UK,Affiliate,2025-04-12
C10249,Germany,Paid Search,2025-10-21
C10250,France,Affiliate,2025-01-17
C10251,Germany,Social,2025-09-20
C10252,Germany,Email,2026-04-28
C10253,Spain,Email,2025-07-15
C10254,UK,Affiliate,2026-03-07
C10255,UK,Organic,2025-07-21
C10256,France,Organic,2025-09-16
C10257,France,Paid Search,2026-06-23
C10258,Italy,Organic,2025-07-26
C10259,Spain,Paid Search,2025-07-22
C10260,Netherlands,Referral,2025-12-07
C10261,Italy,Organic,2025-09-04
C10262,Germany,Paid Search,2025-12-02
C10263,UK,Paid Search,2025-04-23
C10264,France,Organic,2026-02-17
C10265,Germany,Organic,2026-06-20
C10266,Germany,Referral,2025-08-25
C10267,UK,Social,2025-01-16
C10268,France,Email,2026-05-31
C10269,France,Organic,2025-11-16
C10270,Germany,Paid Search,2026-03-15
C10271,UK,Paid Search,2025-07-09
C10272,Italy,Social,2025-12-23
C10273,UK,Affiliate,2025-12-25
C10274,UK,Organic,2025-06-16
C10275,Netherlands,Email,2025-12-18
C10276,Germany,Paid Search,2026-06-07
C10277,Italy,Paid Search,2026-01-31
C10278,UK,Affiliate,2025-08-28
C10279,France,Organic,2025-09-18
C10280,UK,Affiliate,2025-03-02
C10281,Netherlands,Email,2026-01-03
C10282,Italy,Paid Search,2025-09-26
C10283,France,Email,2025-02-27
C10284,Spain,Paid Search,2026-05-03
C10285,UK,Email,2025-01-21
C10286,Netherlands,Email,2025-06-20
C10287,Germany,Email,2025-04-09
C10288,UK,Organic,2025-01-02
C10289,Italy,Organic,2026-01-03
C10290,France,Email,2026-03-21
C10291,UK,Social,2025-09-18
C10292,UK,Paid Search,2025-11-29
C10293,UK,Email,2026-02-07
C10294,France,Organic,2025-04-24
C10295,Netherlands,Social,2025-10-11
C10296,UK,Affiliate,2025-01-11
C10297,Italy,Organic,2026-05-03
C10298,UK,Social,2025-06-10
C10299,France,Email,2025-12-25
C10300,Netherlands,Referral,2026-06-04
C10301,Spain,Social,2025-12-12
C10302,Netherlands,Email,2026-05-17
C10303,France,Referral,2026-01-08
C10304,Germany,Paid Search,2025-06-23
C10305,UK,Email,2025-09-07
C10306,Italy,Organic,2025-01-03
C10307,France,Paid Search,2025-08-01
C10308,Spain,Social,2026-01-21
C10309,Spain,Affiliate,2025-05-04
C10310,UK,Referral,2026-04-17
C10311,UK,Referral,2026-01-03
C10312,UK,Email,2025-02-10
C10313,UK,Social,2026-05-04
C10314,UK,Social,2025-08-02
C10315,Italy,Paid Search,2026-03-25
C10316,Italy,Organic,2025-02-01
C10317,Germany,Paid Search,2025-09-20
C10318,Germany,Organic,2025-11-09
C10319,France,Referral,2026-05-21
C10320,UK,Paid Search,2025-10-20
C10321,France,Email,2025-04-21
C10322,Germany,Paid Search,2025-08-24
C10323,France,Paid Search,2025-03-30
C10324,Netherlands,Organic,2025-04-05
C10325,Germany,Paid Search,2025-10-18
C10326,UK,Referral,2025-06-22
C10327,UK,Organic,2026-06-23
C10328,UK,Organic,2025-11-13
C10329,Netherlands,Organic,2025-02-15
C10330,Germany,Email,2025-04-22
C10331,Netherlands,Paid Search,2026-01-08
C10332,UK,Email,2025-11-01
C10333,UK,Paid Search,2025-09-22
C10334,UK,Referral,2025-05-10
C10335,Germany,Email,2025-11-03
C10336,Italy,Social,2025-11-28
C10337,Netherlands,Paid Search,2026-04-12
C10338,UK,Paid Search,2025-12-20
C10339,UK,Paid Search,2025-12-17
C10340,Germany,Affiliate,2025-03-15
C10341,UK,Social,2025-11-29
C10342,Netherlands,Affiliate,2025-12-21
C10343,Germany,Email,2025-03-21
C10344,UK,Social,2026-01-20
C10345,Spain,Email,2025-02-01
C10346,Spain,Email,2026-06-28
C10347,UK,Paid Search,2025-10-01
C10348,UK,Organic,2025-12-03
C10349,France,Social,2026-06-08
C10350,Netherlands,Email,2025-08-01
C10351,Netherlands,Organic,2025-09-09
C10352,Spain,Affiliate,2025-11-25
C10353,France,Paid Search,2026-03-02
C10354,UK,Social,2025-11-20
C10355,France,Email,2026-01-18
C10356,France,Email,2025-12-02
C10357,UK,Email,2026-04-03
C10358,UK,Organic,2025-04-01
C10359,Germany,Paid Search,2025-08-29
C10360,UK,Organic,2026-06-27
C10361,UK,Social,2025-10-12
C10362,Germany,Paid Search,2026-06-15
C10363,UK,Organic,2026-06-17
C10364,UK,Paid Search,2026-01-10
C10365,Germany,Email,2026-01-29
C10366,UK,Affiliate,2025-07-23
C10367,France,Organic,2025-07-07
C10368,Germany,Paid Search,2026-06-04
C10369,UK,Organic,2025-04-27
C10370,France,Email,2025-03-16
C10371,UK,Affiliate,2025-09-17
C10372,France,Social,2026-01-15
C10373,UK,Social,2026-04-04
C10374,Spain,Email,2026-01-24
C10375,Germany,Social,2025-12-26
C10376,UK,Social,2025-09-19
C10377,Germany,Organic,2025-09-17
C10378,Germany,Email,2026-01-03
C10379,Germany,Paid Search,2026-03-07
C10380,UK,Paid Search,2026-04-16
C10381,Italy,Organic,2025-03-13
C10382,Germany,Organic,2025-03-16
C10383,Italy,Affiliate,2026-02-09
C10384,Italy,Email,2025-01-29
C10385,Germany,Email,2025-06-09
C10386,Italy,Paid Search,2025-04-16
C10387,Germany,Paid Search,2026-02-15
C10388,Germany,Affiliate,2026-02-14
C10389,UK,Paid Search,2026-02-25
C10390,Spain,Organic,2026-04-15
C10391,UK,Email,2025-03-05
C10392,France,Affiliate,2025-09-13
C10393,France,Email,2025-05-10
C10394,Germany,Email,2026-01-28
C10395,UK,Referral,2025-08-08
C10396,UK,Paid Search,2026-01-26
C10397,Italy,Organic,2025-12-09
C10398,Germany,Email,2026-05-11
C10399,UK,Paid Search,2025-12-08
C10400,UK,Organic,2025-07-05
C10401,Germany,Paid Search,2025-03-20
C10402,UK,Organic,2025-07-02
C10403,Spain,Organic,2026-06-27
C10404,Germany,Referral,2025-05-02
C10405,UK,Affiliate,2025-08-12
C10406,UK,Affiliate,2026-05-22
C10407,UK,Email,2025-05-06
C10408,Netherlands,Affiliate,2026-02-09
C10409,Netherlands,Referral,2025-12-13
C10410,Netherlands,Referral,2025-07-03
C10411,Italy,Organic,2025-09-22
C10412,Germany,Social,2026-06-01
C10413,Italy,Paid Search,2025-10-25
C10414,UK,Affiliate,2025-12-19
C10415,Italy,Organic,2026-06-26
C10416,UK,Social,2026-05-26
C10417,UK,Email,2025-04-11
C10418,UK,Organic,2025-03-31
C10419,Germany,Organic,2025-11-11
C10420,UK,Paid Search,2025-02-27
C10421,Netherlands,Paid Search,2026-06-25
C10422,Germany,Organic,2025-03-20
C10423,Germany,Organic,2025-10-15
C10424,Germany,Referral,2025-05-24
C10425,UK,Paid Search,2025-03-29
C10426,UK,Affiliate,2025-05-30
C10427,UK,Affiliate,2025-08-20
C10428,UK,Paid Search,2025-01-14
C10429,Spain,Email,2025-08-23
C10430,Netherlands,Paid Search,2025-05-04
C10431,Netherlands,Paid Search,2025-08-16
C10432,Spain,Referral,2026-05-20
C10433,UK,Paid Search,2025-06-22
C10434,UK,Social,2026-03-17
C10435,Italy,Paid Search,2026-03-21
C10436,UK,Email,2025-02-18
C10437,UK,Email,2026-05-17
C10438,UK,Email,2025-01-07
C10439,France,Social,2025-04-08
C10440,Spain,Organic,2025-03-19
C10441,UK,Paid Search,2025-10-06
C10442,Italy,Paid Search,2026-06-18
C10443,UK,Organic,2026-03-19
C10444,Germany,Organic,2025-12-31
C10445,UK,Referral,2026-01-07
C10446,UK,Paid Search,2026-02-26
C10447,UK,Referral,2025-11-10
C10448,France,Social,2026-06-03
C10449,UK,Paid Search,2026-02-09
C10450,Spain,Email,2026-04-01
C10451,UK,Paid Search,2026-01-31
C10452,Germany,Affiliate,2025-09-19
C10453,UK,Social,2025-09-18
C10454,Germany,Paid Search,2026-04-29
C10455,Italy,Referral,2025-11-27
C10456,Italy,Email,2025-09-30
C10457,Italy,Email,2025-12-22
C10458,Germany,Referral,2025-05-26
C10459,Germany,Organic,2026-04-30
C10460,Germany,Social,2026-06-15
C10461,France,Paid Search,2025-06-03
C10462,Germany,Affiliate,2025-05-19
C10463,UK,Email,2026-03-22
C10464,France,Organic,2026-01-26
C10465,UK,Affiliate,2025-08-19
C10466,France,Social,2026-04-28
C10467,UK,Organic,2026-06-06
C10468,UK,Organic,2026-03-10
C10469,Netherlands,Paid Search,2025-07-21
C10470,Germany,Email,2026-01-06
C10471,Italy,Social,2025-03-12
C10472,Germany,Email,2025-12-09
C10473,UK,Paid Search,2026-02-26
C10474,UK,Paid Search,2025-09-15
C10475,Germany,Paid Search,2026-03-16
C10476,UK,Affiliate,2025-03-08
C10477,Germany,Paid Search,2026-02-24
C10478,Germany,Referral,2026-04-10
C10479,Spain,Organic,2026-06-12
C10480,France,Referral,2025-06-26
C10481,France,Referral,2026-03-12
C10482,Italy,Organic,2025-02-22
C10483,UK,Organic,2025-01-02
C10484,Italy,Referral,2026-06-18
C10485,Germany,Paid Search,2026-04-03
C10486,UK,Paid Search,2025-12-24
C10487,Germany,Email,2025-07-18
C10488,France,Email,2025-01-22
C10489,Netherlands,Organic,2026-02-14
C10490,UK,Paid Search,2026-02-04
C10491,Italy,Organic,2026-06-22
C10492,UK,Paid Search,2025-09-15
C10493,France,Paid Search,2026-01-29
C10494,Spain,Organic,2025-01-18
C10495,Netherlands,Paid Search,2025-08-05
C10496,France,Paid Search,2025-06-09
C10497,UK,Paid Search,2026-06-25
C10498,Spain,Paid Search,2026-03-12
C10499,UK,Referral,2026-01-25
C10500,UK,Organic,2025-06-18
C10501,Spain,Referral,2025-10-21
C10502,UK,Referral,2025-09-11
C10503,Germany,Paid Search,2025-09-12
C10504,France,Organic,2025-11-11
C10505,France,Organic,2025-12-25
C10506,France,Affiliate,2025-12-29
C10507,Germany,Paid Search,2025-11-14
C10508,UK,Paid Search,2026-02-21
C10509,Netherlands,Paid Search,2025-07-17
C10510,Germany,Referral,2026-02-11
C10511,UK,Email,2025-01-29
C10512,France,Social,2025-08-26
C10513,UK,Paid Search,2025-12-08
C10514,Germany,Social,2026-01-16
C10515,France,Social,2025-02-03
C10516,Netherlands,Organic,2025-02-26
C10517,Germany,Paid Search,2026-02-25
C10518,Germany,Paid Search,2025-10-07
C10519,France,Paid Search,2026-02-15
C10520,Spain,Paid Search,2026-01-29
C10521,UK,Paid Search,2026-05-20
C10522,UK,Paid Search,2026-05-10
C10523,UK,Referral,2025-05-11
C10524,Germany,Paid Search,2025-05-04
C10525,Spain,Email,2025-04-01
C10526,UK,Paid Search,2025-12-14
C10527,France,Paid Search,2025-05-03
C10528,UK,Referral,2026-02-08
C10529,UK,Social,2025-08-13
C10530,France,Social,2025-07-31
C10531,UK,Organic,2026-04-13
C10532,UK,Social,2025-06-03
C10533,France,Organic,2025-01-13
C10534,UK,Paid Search,2025-10-14
C10535,Spain,Paid Search,2025-03-25
C10536,UK,Organic,2026-05-28
C10537,UK,Organic,2025-08-29
C10538,Germany,Organic,2025-01-11
C10539,Italy,Organic,2025-09-29
C10540,UK,Affiliate,2025-10-23
C10541,UK,Referral,2025-05-08
C10542,Spain,Organic,2025-01-05
C10543,UK,Social,2026-05-23
C10544,UK,Paid Search,2025-12-20
C10545,Germany,Email,2026-05-02
C10546,Germany,Social,2025-10-07
C10547,Germany,Referral,2025-04-17
C10548,Germany,Email,2026-06-21
C10549,France,Social,2025-12-29
C10550,Germany,Social,2025-03-31
C10551,France,Social,2025-04-06
C10552,UK,Email,2025-08-14
C10553,UK,Social,2025-09-07
C10554,Netherlands,Paid Search,2025-10-30
C10555,Germany,Paid Search,2026-01-19
C10556,France,Referral,2025-12-18
C10557,France,Referral,2025-03-24
C10558,Netherlands,Social,2026-06-20
C10559,Spain,Referral,2025-03-19
C10560,UK,Paid Search,2025-09-25
C10561,Germany,Referral,2025-05-07
C10562,Germany,Affiliate,2025-12-04
C10563,France,Organic,2025-06-09
C10564,France,Organic,2025-09-30
C10565,UK,Organic,2025-10-16
C10566,UK,Paid Search,2025-11-30
C10567,UK,Paid Search,2026-01-08
C10568,UK,Social,2025-03-01
C10569,UK,Organic,2026-04-19
C10570,Netherlands,Organic,2026-03-26
C10571,UK,Organic,2026-04-23
C10572,UK,Email,2025-09-19
C10573,France,Organic,2025-01-10
C10574,Italy,Organic,2025-10-22
C10575,Germany,Email,2025-08-30
C10576,France,Affiliate,2026-01-10
C10577,UK,Organic,2025-04-04
C10578,Netherlands,Organic,2025-05-25
C10579,Italy,Referral,2025-04-04
C10580,France,Organic,2025-08-30
C10581,Spain,Email,2025-11-13
C10582,UK,Email,2026-03-28
C10583,Spain,Email,2026-04-08
C10584,UK,Social,2025-03-23
C10585,UK,Referral,2026-06-13
C10586,Germany,Organic,2025-07-18
C10587,Spain,Social,2025-01-28
C10588,UK,Paid Search,2025-05-12
C10589,UK,Referral,2026-06-17
C10590,UK,Social,2025-12-07
C10591,Germany,Organic,2025-10-12
C10592,UK,Affiliate,2025-06-30
C10593,Italy,Paid Search,2026-02-13
C10594,France,Referral,2026-06-20
C10595,UK,Social,2026-01-04
C10596,France,Paid Search,2026-02-04
C10597,Germany,Referral,2026-01-15
C10598,France,Email,2025-12-01
C10599,UK,Social,2026-02-06
C10600,Germany,Paid Search,2026-04-23
C10601,UK,Referral,2025-03-19
C10602,France,Referral,2025-10-25
C10603,Italy,Affiliate,2025-07-17
C10604,France,Paid Search,2025-09-22
C10605,Netherlands,Social,2025-10-10
C10606,UK,Email,2025-08-12
C10607,UK,Referral,2025-04-18
C10608,Spain,Organic,2025-06-21
C10609,UK,Referral,2026-04-18
C10610,Spain,Referral,2025-01-05
C10611,UK,Organic,2026-06-29
C10612,UK,Social,2026-05-03
C10613,Italy,Referral,2025-03-13
C10614,Germany,Affiliate,2025-03-06
C10615,Germany,Organic,2025-10-26
C10616,Spain,Affiliate,2025-07-14
C10617,France,Email,2025-12-15
C10618,Netherlands,Organic,2026-03-23
C10619,Netherlands,Referral,2026-04-02
C10620,France,Referral,2025-04-06
C10621,Germany,Referral,2025-07-20
C10622,Germany,Organic,2025-08-30
C10623,Germany,Affiliate,2025-06-26
C10624,France,Email,2025-12-12
C10625,UK,Social,2025-05-06
C10626,Italy,Referral,2025-03-20
C10627,UK,Email,2025-05-04
C10628,UK,Organic,2025-03-16
C10629,Netherlands,Social,2025-01-24
C10630,UK,Organic,2026-02-20
C10631,UK,Social,2025-05-03
C10632,UK,Email,2026-06-16
C10633,Italy,Paid Search,2025-09-05
C10634,UK,Email,2025-08-01
C10635,Germany,Paid Search,2026-02-13
C10636,Germany,Paid Search,2026-04-08
C10637,Netherlands,Email,2025-04-13
C10638,UK,Affiliate,2025-09-22
C10639,Netherlands,Affiliate,2025-10-26
C10640,Germany,Social,2026-01-29
C10641,Netherlands,Organic,2025-09-12
C10642,France,Organic,2026-02-23
C10643,Italy,Paid Search,2025-01-29
C10644,UK,Social,2026-02-04
C10645,France,Referral,2026-01-13
C10646,Germany,Affiliate,2026-06-01
C10647,Netherlands,Email,2026-01-30
C10648,Spain,Paid Search,2025-03-12
C10649,Netherlands,Organic,2025-11-19
C10650,UK,Organic,2026-04-26
C10651,Germany,Organic,2026-04-17
C10652,Germany,Paid Search,2025-06-15
C10653,UK,Affiliate,2026-04-02
C10654,Germany,Email,2025-08-25
C10655,UK,Social,2025-07-11
C10656,Netherlands,Referral,2025-03-28
C10657,France,Paid Search,2025-12-27
C10658,UK,Paid Search,2025-04-28
C10659,Italy,Paid Search,2025-05-22
C10660,Netherlands,Affiliate,2026-04-08
C10661,Spain,Affiliate,2025-06-17
C10662,UK,Referral,2025-01-10
C10663,UK,Email,2025-08-10
C10664,UK,Organic,2025-03-31
C10665,Netherlands,Paid Search,2025-10-20
C10666,UK,Social,2025-10-05
C10667,Spain,Organic,2025-02-05
C10668,UK,Affiliate,2025-07-09
C10669,Netherlands,Organic,2026-01-22
C10670,France,Paid Search,2025-11-18
C10671,UK,Organic,2026-03-09
C10672,France,Paid Search,2026-03-30
C10673,Netherlands,Organic,2025-10-27
C10674,Italy,Paid Search,2025-07-11
C10675,Spain,Referral,2025-03-31
C10676,Spain,Social,2026-01-07
C10677,UK,Social,2026-04-02
C10678,France,Affiliate,2026-01-07
C10679,Netherlands,Organic,2025-05-02
C10680,Italy,Organic,2026-05-30
C10681,Netherlands,Social,2025-08-21
C10682,Netherlands,Paid Search,2026-03-09
C10683,France,Organic,2025-08-15
C10684,UK,Organic,2025-05-09
C10685,Spain,Paid Search,2025-01-10
C10686,France,Paid Search,2025-03-09
C10687,UK,Organic,2025-01-02
C10688,Germany,Social,2025-02-01
C10689,UK,Referral,2026-05-16
C10690,France,Email,2025-01-03
C10691,UK,Affiliate,2025-11-20
C10692,UK,Organic,2025-11-07
C10693,UK,Referral,2026-02-14
C10694,Netherlands,Paid Search,2026-04-09
C10695,Netherlands,Social,2026-04-08
C10696,Germany,Organic,2025-07-01
C10697,Germany,Organic,2026-01-05
C10698,Spain,Paid Search,2025-10-31
C10699,Italy,Organic,2026-05-13
C10700,Netherlands,Email,2025-04-11
C10701,France,Social,2026-03-07
C10702,Netherlands,Social,2025-09-09
C10703,Spain,Organic,2026-04-02
C10704,France,Referral,2026-04-01
C10705,Germany,Organic,2025-02-03
C10706,France,Email,2026-03-09
C10707,UK,Social,2025-08-17
C10708,UK,Affiliate,2026-01-03
C10709,UK,Organic,2025-12-10
C10710,UK,Referral,2025-03-16
C10711,Germany,Referral,2025-05-02
C10712,Spain,Email,2025-02-20
C10713,Germany,Social,2025-04-28
C10714,France,Paid Search,2025-03-31
C10715,Spain,Referral,2025-02-03
C10716,Italy,Paid Search,2025-09-04
C10717,Spain,Email,2025-09-03
C10718,Italy,Referral,2026-02-17
C10719,Italy,Paid Search,2025-05-14
C10720,Italy,Affiliate,2026-04-17
C10721,UK,Affiliate,2025-08-11
C10722,Germany,Paid Search,2025-08-07
C10723,France,Email,2026-03-29
C10724,Germany,Organic,2025-09-07
C10725,Italy,Social,2025-05-15
C10726,Spain,Paid Search,2026-03-11
C10727,UK,Referral,2026-06-30
C10728,Germany,Referral,2025-12-03
C10729,Germany,Email,2025-04-01
C10730,France,Paid Search,2026-03-03
C10731,Italy,Paid Search,2025-01-18
C10732,Germany,Affiliate,2025-03-25
C10733,UK,Organic,2025-10-30
C10734,Netherlands,Paid Search,2025-01-21
C10735,UK,Referral,2026-01-23
C10736,UK,Email,2025-11-05
