OrderID,OrderDate,CustomerID,ProductID,Quantity,DiscountRate,UnitCost,ListPrice,Category,GrossSales,DiscountValue,NetSales,COGS,ShippingCost,PaymentCost
O500019,2025-09-23,C10456,P2007,1,0.15,81.19,138.2,Apparel,138.2,20.73,117.47,81.19,4.04,2.81
O500020,2026-01-13,C10697,P2002,1,0.0,36.16,61.12,Beauty,61.12,0.0,61.12,36.16,2.73,1.19
O500021,2025-11-29,C10647,P2017,2,0.25,42.64,69.06,Apparel,138.12,34.53,103.59,85.28,4.56,2.6
O500022,2026-06-06,C10056,P2067,2,0.15,89.48,177.38,Sports,354.76,53.21,301.55,178.96,5.04,8.66
O500023,2025-05-23,C10597,P2016,2,0.0,23.99,66.65,Electronics,133.3,0.0,133.3,47.98,4.25,4.22
O500024,2026-06-23,C10101,P2027,1,0.15,39.51,103.84,Electronics,103.84,15.58,88.26,39.51,3.53,2.37
O500025,2026-03-06,C11076,P2025,1,0.25,59.62,149.3,Electronics,149.3,37.33,111.98,59.62,4.19,2.04
O500026,2025-05-07,C10406,P2035,3,0.0,33.04,85.13,Beauty,255.39,0.0,255.39,99.12,7.15,7.61
O500027,2025-11-14,C10307,P2070,1,0.15,80.41,185.88,Sports,185.88,27.88,158.0,80.41,3.98,3.0
O500028,2025-10-02,C10793,P2062,3,0.15,69.71,151.88,Beauty,455.64,68.35,387.29,209.13,6.24,9.53
O500029,2026-04-20,C10421,P2054,1,0.05,19.42,50.24,Beauty,50.24,2.51,47.73,19.42,5.21,1.23
O500030,2026-05-22,C11006,P2035,1,0.0,33.04,85.13,Beauty,85.13,0.0,85.13,33.04,5.16,1.59
O500031,2025-02-15,C10014,P2021,2,0.15,75.19,147.18,Electronics,294.36,44.15,250.21,150.38,7.12,6.51
O500032,2026-05-30,C11075,P2030,3,0.05,81.44,160.67,Electronics,482.01,24.1,457.91,244.32,6.49,11.8
O500033,2026-01-11,C10953,P2028,1,0.2,49.21,76.08,Beauty,76.08,15.22,60.86,49.21,3.45,1.75
O500034,2025-02-06,C11177,P2039,1,0.1,88.55,225.55,Beauty,225.55,22.56,203.0,88.55,3.81,4.16
O500035,2026-06-08,C10756,P2045,3,0.05,54.87,109.92,Sports,329.76,16.49,313.27,164.61,6.23,9.74
O500036,2025-10-29,C10927,P2066,3,0.1,21.23,45.94,Beauty,137.82,13.78,124.04,63.69,5.37,3.35
O500037,2025-07-10,C10645,P2008,1,0.1,64.11,126.24,Beauty,126.24,12.62,113.62,64.11,5.02,2.81
O500038,2026-06-03,C10317,P2036,1,0.0,79.57,186.92,Apparel,186.92,0.0,186.92,79.57,3.73,3.76
O500039,2025-03-21,C10822,P2042,2,0.2,21.36,43.17,Sports,86.34,17.27,69.07,42.72,2.75,1.59
O500040,2025-11-02,C10693,P2007,1,0.25,81.19,138.2,Apparel,138.2,34.55,103.65,81.19,6.24,3.29
O500041,2025-01-31,C10187,P2049,3,0.1,75.64,173.14,Apparel,519.42,51.94,467.48,226.92,4.83,13.43
O500042,2025-04-26,C11066,P2036,2,0.05,79.57,186.92,Apparel,373.84,18.69,355.15,159.14,5.43,6.74
O500043,2025-01-18,C10097,P2065,2,0.1,74.22,160.54,Electronics,321.08,32.11,288.97,148.44,6.82,6.92
O500044,2026-03-10,C10434,P2007,1,0.2,81.19,138.2,Apparel,138.2,27.64,110.56,81.19,6.05,2.22
O500045,2025-07-02,C11053,P2020,1,0.0,96.28,147.84,Home,147.84,0.0,147.84,96.28,4.97,4.05
O500046,2026-03-06,C10200,P2016,1,0.0,23.99,66.65,Electronics,66.65,0.0,66.65,23.99,5.6,1.33
O500047,2025-08-09,C10102,P2033,2,0.0,102.58,280.83,Apparel,561.66,0.0,561.66,205.16,3.33,17.71
O500048,2026-05-02,C10729,P2064,2,0.0,92.82,194.3,Sports,388.6,0.0,388.6,185.64,4.62,9.81
O500049,2026-01-11,C10321,P2001,1,0.05,67.86,159.31,Electronics,159.31,7.97,151.34,67.86,5.3,2.92
O500050,2025-11-10,C10163,P2078,3,0.1,80.99,151.9,Beauty,455.7,45.57,410.13,242.97,2.5,8.05
O500051,2026-03-18,C11108,P2023,1,0.15,99.43,207.17,Apparel,207.17,31.08,176.09,99.43,6.08,5.31
O500052,2025-07-01,C10242,P2055,2,0.05,14.94,29.55,Sports,59.1,2.96,56.14,29.88,4.4,1.59
O500053,2026-01-27,C10367,P2040,1,0.15,46.24,112.16,Electronics,112.16,16.82,95.34,46.24,3.65,2.25
O500054,2025-07-29,C10080,P2016,1,0.05,23.99,66.65,Electronics,66.65,3.33,63.32,23.99,3.1,1.64
O500055,2026-01-08,C10934,P2032,2,0.2,83.59,176.17,Apparel,352.34,70.47,281.87,167.18,5.11,6.77
O500056,2025-08-17,C11002,P2055,2,0.0,14.94,29.55,Sports,59.1,0.0,59.1,29.88,4.84,1.38
O500057,2025-04-24,C10297,P2021,1,0.1,75.19,147.18,Electronics,147.18,14.72,132.46,75.19,3.32,2.8
O500058,2026-04-21,C10986,P2079,1,0.0,76.11,150.73,Apparel,150.73,0.0,150.73,76.11,3.74,3.26
O500059,2025-11-13,C10325,P2074,1,0.1,60.53,130.38,Sports,130.38,13.04,117.34,60.53,6.38,2.44
O500060,2025-08-29,C10727,P2077,1,0.1,99.36,190.12,Apparel,190.12,19.01,171.11,99.36,5.08,4.87
O500061,2026-05-28,C10583,P2049,1,0.1,75.64,173.14,Apparel,173.14,17.31,155.83,75.64,3.87,4.62
O500062,2026-03-17,C10837,P2026,1,0.0,25.88,63.53,Beauty,63.53,0.0,63.53,25.88,5.1,1.98
O500063,2025-03-13,C10372,P2039,2,0.15,88.55,225.55,Beauty,451.1,67.67,383.44,177.1,3.27,10.8
O500064,2025-09-08,C10559,P2040,1,0.05,46.24,112.16,Electronics,112.16,5.61,106.55,46.24,7.77,3.0
O500065,2025-06-22,C10079,P2041,2,0.15,53.15,104.66,Apparel,209.32,31.4,177.92,106.3,3.52,4.17
O500066,2026-02-01,C10256,P2001,3,0.0,67.86,159.31,Electronics,477.93,0.0,477.93,203.58,2.84,12.42
O500067,2025-02-27,C10646,P2020,2,0.05,96.28,147.84,Home,295.68,14.78,280.9,192.56,3.14,6.09
O500068,2026-01-19,C10944,P2070,1,0.1,80.41,185.88,Sports,185.88,18.59,167.29,80.41,5.52,5.27
O500069,2025-03-21,C10036,P2053,1,0.0,95.73,175.96,Electronics,175.96,0.0,175.96,95.73,5.57,4.6
O500070,2026-03-05,C10787,P2023,2,0.1,99.43,207.17,Apparel,414.34,41.43,372.91,198.86,5.93,11.39
O500071,2026-04-11,C10741,P2047,2,0.1,23.95,36.37,Sports,72.74,7.27,65.47,47.9,4.0,2.03
O500072,2026-03-05,C10208,P2012,1,0.2,91.5,250.58,Home,250.58,50.12,200.46,91.5,6.18,4.05
O500073,2026-06-23,C10899,P2016,1,0.25,23.99,66.65,Electronics,66.65,16.66,49.99,23.99,4.55,1.02
O500074,2025-10-13,C10815,P2073,3,0.15,103.53,278.8,Apparel,836.4,125.46,710.94,310.59,5.04,18.83
O500075,2026-01-28,C10547,P2071,2,0.0,72.34,202.22,Beauty,404.44,0.0,404.44,144.68,5.28,8.67
O500076,2025-02-09,C10920,P2040,2,0.05,46.24,112.16,Electronics,224.32,11.22,213.1,92.48,7.79,5.31
O500077,2025-06-15,C11033,P2005,1,0.05,21.42,39.38,Sports,39.38,1.97,37.41,21.42,3.87,1.07
O500078,2025-03-13,C10474,P2040,1,0.05,46.24,112.16,Electronics,112.16,5.61,106.55,46.24,3.74,2.77
O500079,2025-09-11,C10347,P2079,1,0.05,76.11,150.73,Apparel,150.73,7.54,143.19,76.11,5.02,3.3
O500080,2025-01-30,C11058,P2026,1,0.0,25.88,63.53,Beauty,63.53,0.0,63.53,25.88,4.82,1.33
O500081,2025-08-01,C11100,P2011,1,0.0,25.59,43.62,Electronics,43.62,0.0,43.62,25.59,3.93,1.27
O500082,2025-05-10,C11000,P2016,3,0.1,23.99,66.65,Electronics,199.95,20.0,179.96,71.97,5.22,4.26
O500083,2025-04-21,C10907,P2048,3,0.05,26.01,65.12,Home,195.36,9.77,185.59,78.03,5.72,5.02
O500084,2026-06-10,C10008,P2025,2,0.05,59.62,149.3,Electronics,298.6,14.93,283.67,119.24,6.89,8.69
O500085,2025-03-16,C10583,P2021,1,0.1,75.19,147.18,Electronics,147.18,14.72,132.46,75.19,8.52,3.11
O500086,2025-07-07,C10178,P2010,1,0.1,105.58,212.84,Electronics,212.84,21.28,191.56,105.58,6.07,3.57
O500087,2026-06-20,C10652,P2038,2,0.1,61.98,100.85,Sports,201.7,20.17,181.53,123.96,5.99,4.06
O500088,2025-08-15,C10364,P2038,2,0.0,61.98,100.85,Sports,201.7,0.0,201.7,123.96,5.28,3.78
O500089,2025-07-15,C10744,P2070,2,0.1,80.41,185.88,Sports,371.76,37.18,334.58,160.82,5.67,7.18
O500090,2025-04-07,C10758,P2025,1,0.15,59.62,149.3,Electronics,149.3,22.4,126.91,59.62,2.91,3.95
O500091,2026-03-27,C10083,P2048,3,0.05,26.01,65.12,Home,195.36,9.77,185.59,78.03,7.88,4.23
O500092,2025-05-08,C10952,P2034,3,0.1,84.74,206.91,Electronics,620.73,62.07,558.66,254.22,4.48,17.36
O500093,2025-09-07,C10629,P2005,1,0.15,21.42,39.38,Sports,39.38,5.91,33.47,21.42,5.29,0.88
O500094,2026-02-17,C10728,P2008,1,0.1,64.11,126.24,Beauty,126.24,12.62,113.62,64.11,3.17,2.73
O500095,2025-05-21,C10055,P2025,3,0.1,59.62,149.3,Electronics,447.9,44.79,403.11,178.86,6.72,12.23
O500096,2025-02-20,C10365,P2061,2,0.0,92.46,150.56,Sports,301.12,0.0,301.12,184.92,5.32,7.01
O500097,2025-12-25,C10942,P2000,3,0.1,20.01,46.3,Beauty,138.9,13.89,125.01,60.03,3.69,3.14
O500098,2025-10-21,C10175,P2003,1,0.15,103.86,246.21,Sports,246.21,36.93,209.28,103.86,2.5,4.68
O500099,2026-02-04,C10066,P2055,2,0.0,14.94,29.55,Sports,59.1,0.0,59.1,29.88,5.7,1.51
O500100,2026-05-08,C10248,P2069,2,0.1,90.63,175.87,Apparel,351.74,35.17,316.57,181.26,7.88,6.8
O500101,2025-10-03,C10534,P2026,2,0.0,25.88,63.53,Beauty,127.06,0.0,127.06,51.76,6.1,2.35
O500102,2025-10-26,C10692,P2020,2,0.0,96.28,147.84,Home,295.68,0.0,295.68,192.56,4.72,6.21
O500103,2026-01-21,C10249,P2072,2,0.0,85.85,152.66,Sports,305.32,0.0,305.32,171.7,4.14,8.49
O500104,2025-10-31,C10390,P2048,1,0.15,26.01,65.12,Home,65.12,9.77,55.35,26.01,5.11,1.67
O500105,2025-06-16,C10552,P2012,2,0.1,91.5,250.58,Home,501.16,50.12,451.04,183.0,4.8,13.4
O500106,2026-04-30,C10326,P2030,1,0.2,81.44,160.67,Electronics,160.67,32.13,128.54,81.44,3.66,3.52
O500107,2025-06-01,C10933,P2071,1,0.0,72.34,202.22,Beauty,202.22,0.0,202.22,72.34,4.03,4.87
O500108,2026-02-25,C10444,P2019,2,0.05,28.46,61.03,Sports,122.06,6.1,115.96,56.92,4.65,2.9
O500109,2025-05-05,C10188,P2052,3,0.05,85.13,212.17,Beauty,636.51,31.83,604.68,255.39,6.04,11.44
O500110,2025-12-02,C10683,P2046,1,0.0,41.9,79.58,Sports,79.58,0.0,79.58,41.9,6.39,2.39
O500111,2026-05-12,C10236,P2079,1,0.15,76.11,150.73,Apparel,150.73,22.61,128.12,76.11,2.58,3.99
O500112,2026-01-22,C10673,P2060,2,0.2,91.93,225.41,Sports,450.82,90.16,360.66,183.86,3.3,9.1
O500113,2025-09-18,C10185,P2060,3,0.0,91.93,225.41,Sports,676.23,0.0,676.23,275.79,7.04,12.83
O500114,2025-01-28,C11081,P2025,2,0.0,59.62,149.3,Electronics,298.6,0.0,298.6,119.24,3.98,8.88
O500115,2025-06-21,C10831,P2057,1,0.1,24.55,53.8,Beauty,53.8,5.38,48.42,24.55,5.21,1.26
O500116,2025-11-21,C11061,P2059,2,0.0,74.58,192.13,Electronics,384.26,0.0,384.26,149.16,5.33,7.39
O500117,2026-06-14,C10142,P2030,2,0.15,81.44,160.67,Electronics,321.34,48.2,273.14,162.88,6.54,6.51
O500118,2026-02-28,C10890,P2028,1,0.0,49.21,76.08,Beauty,76.08,0.0,76.08,49.21,6.94,1.85
O500119,2025-01-15,C10701,P2024,1,0.0,38.64,85.56,Electronics,85.56,0.0,85.56,38.64,4.74,2.7
O500120,2026-01-22,C10110,P2018,3,0.05,23.1,60.58,Apparel,181.74,9.09,172.65,69.3,5.36,4.53
O500121,2025-12-20,C10995,P2026,2,0.05,25.88,63.53,Beauty,127.06,6.35,120.71,51.76,4.45,2.19
O500122,2026-01-18,C10591,P2015,2,0.2,32.67,56.68,Home,113.36,22.67,90.69,65.34,4.08,1.76
O500123,2025-01-17,C10175,P2076,1,0.0,94.33,153.36,Apparel,153.36,0.0,153.36,94.33,3.71,4.55
O500124,2025-05-15,C10215,P2011,2,0.1,25.59,43.62,Electronics,87.24,8.72,78.52,51.18,3.73,1.76
O500125,2026-01-24,C10006,P2060,3,0.05,91.93,225.41,Sports,676.23,33.81,642.42,275.79,3.52,20.41
O500126,2025-04-09,C11108,P2032,3,0.0,83.59,176.17,Apparel,528.51,0.0,528.51,250.77,4.44,9.59
O500127,2026-06-15,C10210,P2003,2,0.25,103.86,246.21,Sports,492.42,123.1,369.32,207.72,3.42,9.25
O500128,2026-04-05,C10465,P2010,1,0.05,105.58,212.84,Electronics,212.84,10.64,202.2,105.58,5.75,4.05
O500129,2025-06-03,C10225,P2036,2,0.0,79.57,186.92,Apparel,373.84,0.0,373.84,159.14,3.84,9.6
O500130,2025-09-20,C11135,P2050,2,0.1,47.62,83.27,Beauty,166.54,16.65,149.89,95.24,3.93,3.99
O500131,2026-05-23,C10177,P2070,3,0.15,80.41,185.88,Sports,557.64,83.65,473.99,241.23,3.81,9.26
O500132,2026-06-17,C11075,P2025,3,0.1,59.62,149.3,Electronics,447.9,44.79,403.11,178.86,6.35,7.92
O500133,2025-10-19,C10602,P2004,2,0.15,82.13,229.05,Sports,458.1,68.72,389.38,164.26,5.39,7.6
O500134,2026-04-30,C10014,P2004,1,0.0,82.13,229.05,Sports,229.05,0.0,229.05,82.13,4.74,4.18
O500135,2025-08-18,C11145,P2051,1,0.1,21.09,56.25,Home,56.25,5.62,50.62,21.09,6.6,1.07
O500136,2025-03-25,C10794,P2061,1,0.0,92.46,150.56,Sports,150.56,0.0,150.56,92.46,5.47,4.5
O500137,2025-07-30,C10143,P2060,3,0.15,91.93,225.41,Sports,676.23,101.43,574.8,275.79,7.89,13.77
O500138,2026-02-07,C11009,P2050,2,0.05,47.62,83.27,Beauty,166.54,8.33,158.21,95.24,7.75,3.39
O500139,2025-03-10,C10718,P2007,1,0.15,81.19,138.2,Apparel,138.2,20.73,117.47,81.19,4.4,2.96
O500140,2025-12-12,C11129,P2024,2,0.1,38.64,85.56,Electronics,171.12,17.11,154.01,77.28,4.54,3.33
O500141,2026-02-09,C10144,P2072,2,0.0,85.85,152.66,Sports,305.32,0.0,305.32,171.7,3.21,8.18
O500142,2025-12-31,C10479,P2054,3,0.1,19.42,50.24,Beauty,150.72,15.07,135.65,58.26,4.54,2.54
O500143,2025-09-18,C11094,P2002,1,0.1,36.16,61.12,Beauty,61.12,6.11,55.01,36.16,3.43,1.25
O500144,2025-06-26,C11186,P2057,1,0.0,24.55,53.8,Beauty,53.8,0.0,53.8,24.55,6.33,1.11
O500145,2025-06-26,C10365,P2038,2,0.0,61.98,100.85,Sports,201.7,0.0,201.7,123.96,3.06,5.56
O500146,2025-10-08,C11170,P2072,2,0.0,85.85,152.66,Sports,305.32,0.0,305.32,171.7,2.5,7.66
O500147,2025-06-30,C10603,P2029,1,0.25,30.95,55.54,Apparel,55.54,13.88,41.66,30.95,2.73,0.82
O500148,2025-12-28,C10443,P2039,3,0.1,88.55,225.55,Beauty,676.65,67.67,608.99,265.65,5.93,13.36
O500149,2026-01-08,C10844,P2059,1,0.1,74.58,192.13,Electronics,192.13,19.21,172.92,74.58,4.57,3.21
O500150,2026-03-05,C10282,P2024,1,0.0,38.64,85.56,Electronics,85.56,0.0,85.56,38.64,5.14,1.92
O500151,2025-02-07,C11116,P2065,1,0.0,74.22,160.54,Electronics,160.54,0.0,160.54,74.22,6.04,3.41
O500152,2025-09-20,C10177,P2057,2,0.05,24.55,53.8,Beauty,107.6,5.38,102.22,49.1,4.44,2.45
O500153,2025-07-29,C10246,P2038,1,0.15,61.98,100.85,Sports,100.85,15.13,85.72,61.98,2.5,2.06
O500154,2025-05-29,C11068,P2077,2,0.1,99.36,190.12,Apparel,380.24,38.02,342.22,198.72,5.14,10.79
O500155,2025-02-26,C10220,P2050,3,0.0,47.62,83.27,Beauty,249.81,0.0,249.81,142.86,3.59,5.52
O500156,2026-06-16,C11087,P2022,1,0.15,39.69,79.46,Beauty,79.46,11.92,67.54,39.69,6.46,2.15
O500157,2025-06-13,C10323,P2038,1,0.05,61.98,100.85,Sports,100.85,5.04,95.81,61.98,5.85,1.73
O500158,2026-03-21,C10280,P2040,1,0.0,46.24,112.16,Electronics,112.16,0.0,112.16,46.24,5.2,2.02
O500159,2026-02-14,C11050,P2024,2,0.15,38.64,85.56,Electronics,171.12,25.67,145.45,77.28,4.58,4.23
O500160,2025-06-21,C11080,P2031,3,0.2,54.53,117.07,Sports,351.21,70.24,280.97,163.59,5.63,6.19
O500161,2025-02-18,C10400,P2058,1,0.0,56.31,124.87,Electronics,124.87,0.0,124.87,56.31,7.7,2.44
O500162,2025-09-17,C10400,P2049,1,0.0,75.64,173.14,Apparel,173.14,0.0,173.14,75.64,5.57,4.7
O500163,2025-10-20,C10890,P2077,1,0.1,99.36,190.12,Apparel,190.12,19.01,171.11,99.36,5.76,4.29
O500164,2026-02-02,C10452,P2075,2,0.05,49.49,125.61,Electronics,251.22,12.56,238.66,98.98,5.13,6.58
O500165,2025-04-19,C10034,P2024,1,0.05,38.64,85.56,Electronics,85.56,4.28,81.28,38.64,6.23,1.99
O500166,2026-04-04,C10190,P2040,3,0.1,46.24,112.16,Electronics,336.48,33.65,302.83,138.72,3.9,7.28
O500167,2026-02-06,C10175,P2078,1,0.0,80.99,151.9,Beauty,151.9,0.0,151.9,80.99,3.06,4.26
O500168,2025-08-22,C10032,P2014,3,0.1,105.6,279.48,Beauty,838.44,83.84,754.6,316.8,6.94,15.83
O500169,2025-12-06,C10561,P2014,2,0.1,105.6,279.48,Beauty,558.96,55.9,503.06,211.2,4.72,10.92
O500170,2025-11-24,C10008,P2049,1,0.0,75.64,173.14,Apparel,173.14,0.0,173.14,75.64,5.56,4.49
O500171,2025-04-11,C10979,P2041,1,0.05,53.15,104.66,Apparel,104.66,5.23,99.43,53.15,3.1,2.77
O500172,2025-01-04,C10747,P2078,1,0.05,80.99,151.9,Beauty,151.9,7.6,144.3,80.99,4.97,4.22
O500173,2025-08-20,C10327,P2012,2,0.15,91.5,250.58,Home,501.16,75.17,425.99,183.0,5.9,13.03
O500174,2026-01-09,C11156,P2001,1,0.0,67.86,159.31,Electronics,159.31,0.0,159.31,67.86,6.38,3.63
O500175,2025-09-29,C10643,P2049,1,0.2,75.64,173.14,Apparel,173.14,34.63,138.51,75.64,3.27,2.64
O500176,2025-10-12,C10247,P2063,1,0.1,107.79,241.07,Sports,241.07,24.11,216.96,107.79,5.2,5.2
O500177,2025-03-28,C10414,P2054,3,0.0,19.42,50.24,Beauty,150.72,0.0,150.72,58.26,3.85,4.05
O500178,2025-01-28,C10066,P2054,1,0.2,19.42,50.24,Beauty,50.24,10.05,40.19,19.42,8.72,0.94
O500179,2025-04-14,C10131,P2069,1,0.0,90.63,175.87,Apparel,175.87,0.0,175.87,90.63,4.8,3.21
O500180,2025-07-07,C10313,P2043,2,0.1,34.43,56.92,Electronics,113.84,11.38,102.46,68.86,6.05,2.42
O500181,2025-02-15,C10463,P2051,2,0.1,21.09,56.25,Home,112.5,11.25,101.25,42.18,2.77,1.98
O500182,2026-04-05,C10652,P2046,2,0.05,41.9,79.58,Sports,159.16,7.96,151.2,83.8,2.67,4.07
O500183,2025-08-23,C10050,P2027,1,0.2,39.51,103.84,Electronics,103.84,20.77,83.07,39.51,5.4,1.74
O500184,2026-04-09,C10953,P2060,2,0.0,91.93,225.41,Sports,450.82,0.0,450.82,183.86,4.73,8.31
O500185,2025-01-13,C10307,P2028,3,0.05,49.21,76.08,Beauty,228.24,11.41,216.83,147.63,4.3,5.11
O500186,2025-03-28,C11131,P2038,1,0.05,61.98,100.85,Sports,100.85,5.04,95.81,61.98,5.61,2.15
O500187,2026-06-05,C10016,P2076,1,0.2,94.33,153.36,Apparel,153.36,30.67,122.69,94.33,7.16,3.05
O500188,2025-08-11,C10720,P2047,2,0.0,23.95,36.37,Sports,72.74,0.0,72.74,47.9,3.13,2.15
O500189,2025-01-08,C11139,P2010,1,0.0,105.58,212.84,Electronics,212.84,0.0,212.84,105.58,5.23,3.89
O500190,2025-05-01,C10593,P2048,1,0.15,26.01,65.12,Home,65.12,9.77,55.35,26.01,5.85,1.04
O500191,2026-06-27,C10634,P2053,1,0.2,95.73,175.96,Electronics,175.96,35.19,140.77,95.73,5.95,3.07
O500192,2026-02-07,C10642,P2056,2,0.05,12.18,29.13,Home,58.26,2.91,55.35,24.36,4.97,1.32
O500193,2025-03-15,C10949,P2056,2,0.0,12.18,29.13,Home,58.26,0.0,58.26,24.36,5.07,1.18
O500194,2026-03-23,C10907,P2050,1,0.15,47.62,83.27,Beauty,83.27,12.49,70.78,47.62,6.66,1.75
O500195,2025-09-27,C10776,P2077,2,0.15,99.36,190.12,Apparel,380.24,57.04,323.2,198.72,5.71,7.53
O500196,2026-06-06,C10161,P2013,1,0.25,14.91,32.18,Beauty,32.18,8.04,24.14,14.91,6.52,0.7
O500197,2025-12-31,C10751,P2013,2,0.15,14.91,32.18,Beauty,64.36,9.65,54.71,29.82,5.72,1.23
O500198,2026-04-05,C11151,P2046,1,0.25,41.9,79.58,Sports,79.58,19.9,59.68,41.9,6.01,1.18
O500199,2025-06-19,C10156,P2065,2,0.1,74.22,160.54,Electronics,321.08,32.11,288.97,148.44,5.3,8.52
O500200,2025-07-31,C10539,P2036,2,0.0,79.57,186.92,Apparel,373.84,0.0,373.84,159.14,7.06,11.15
O500201,2025-10-27,C10445,P2009,2,0.1,89.03,195.13,Home,390.26,39.03,351.23,178.06,3.33,6.69
O500202,2026-03-18,C10352,P2061,3,0.1,92.46,150.56,Sports,451.68,45.17,406.51,277.38,6.09,11.52
O500203,2026-01-03,C10963,P2064,1,0.05,92.82,194.3,Sports,194.3,9.72,184.58,92.82,2.5,4.78
O500204,2025-12-09,C10242,P2039,2,0.0,88.55,225.55,Beauty,451.1,0.0,451.1,177.1,5.43,12.32
O500205,2025-03-25,C10155,P2030,2,0.05,81.44,160.67,Electronics,321.34,16.07,305.27,162.88,3.58,7.54
O500206,2025-02-03,C10831,P2041,1,0.1,53.15,104.66,Apparel,104.66,10.47,94.19,53.15,3.1,1.79
O500207,2025-01-02,C10450,P2050,3,0.1,47.62,83.27,Beauty,249.81,24.98,224.83,142.86,2.5,6.71
O500208,2025-11-11,C10346,P2013,2,0.2,14.91,32.18,Beauty,64.36,12.87,51.49,29.82,6.19,1.12
O500209,2025-07-24,C10754,P2059,3,0.2,74.58,192.13,Electronics,576.39,115.28,461.11,223.74,3.76,13.91
O500210,2026-05-11,C10838,P2079,1,0.0,76.11,150.73,Apparel,150.73,0.0,150.73,76.11,5.91,2.75
O500211,2025-04-28,C10592,P2044,2,0.15,96.39,166.51,Electronics,333.02,49.95,283.07,192.78,2.63,5.49
O500212,2025-01-26,C10551,P2042,2,0.2,21.36,43.17,Sports,86.34,17.27,69.07,42.72,3.58,1.91
O500213,2025-04-07,C10952,P2035,1,0.15,33.04,85.13,Beauty,85.13,12.77,72.36,33.04,7.33,1.59
O500214,2025-08-14,C10038,P2069,1,0.05,90.63,175.87,Apparel,175.87,8.79,167.08,90.63,3.56,3.73
O500215,2026-06-03,C10515,P2057,1,0.1,24.55,53.8,Beauty,53.8,5.38,48.42,24.55,5.15,1.18
O500216,2025-01-20,C10888,P2009,3,0.25,89.03,195.13,Home,585.39,146.35,439.04,267.09,5.99,9.41
O500217,2025-04-27,C11162,P2019,1,0.0,28.46,61.03,Sports,61.03,0.0,61.03,28.46,6.97,1.5
O500218,2026-06-13,C10989,P2041,1,0.2,53.15,104.66,Apparel,104.66,20.93,83.73,53.15,2.5,2.29
O500219,2026-01-25,C10321,P2048,3,0.0,26.01,65.12,Home,195.36,0.0,195.36,78.03,4.29,4.1
O500220,2025-03-10,C10784,P2079,2,0.15,76.11,150.73,Apparel,301.46,45.22,256.24,152.22,5.26,5.4
O500221,2025-07-09,C10612,P2037,2,0.05,19.43,42.14,Home,84.28,4.21,80.07,38.86,5.1,2.48
O500222,2026-02-16,C10186,P2056,1,0.15,12.18,29.13,Home,29.13,4.37,24.76,12.18,7.25,0.66
O500223,2025-12-02,C10045,P2003,1,0.1,103.86,246.21,Sports,246.21,24.62,221.59,103.86,3.55,4.05
