OrderID,ReturnDate,ProductID,ReturnQuantity,ReturnReason,RefundValue,ReturnCost
O501758,2026-06-10,P2013,1,Damaged,32.18,18.41
O501779,2025-06-18,P2051,1,Size/Fit,56.25,24.59
O501801,2026-03-15,P2033,1,Wrong Item,280.83,106.08
O501818,2025-03-09,P2029,1,Damaged,55.54,34.45
O501841,2025-11-24,P2061,1,Wrong Item,150.56,95.96
O501848,2025-04-24,P2031,1,Size/Fit,117.07,58.03
O501856,2025-09-24,P2071,1,Quality Issue,202.22,75.84
O501879,2025-12-10,P2051,1,Wrong Item,56.25,24.59
O501894,2025-06-27,P2038,1,Damaged,100.85,65.48
O501912,2025-02-09,P2025,1,Size/Fit,149.3,63.12
O501937,2026-03-26,P2004,1,Size/Fit,229.05,85.63
O501972,2025-08-29,P2051,1,Size/Fit,56.25,24.59
O501975,2025-05-16,P2011,1,Changed Mind,43.62,29.09
O502026,2025-11-25,P2037,1,Changed Mind,42.14,22.93
O502081,2025-08-15,P2063,1,Quality Issue,241.07,111.29
O502102,2025-05-03,P2062,1,Changed Mind,151.88,73.21
O502109,2025-09-28,P2050,1,Size/Fit,83.27,51.12
O502115,2025-10-26,P2037,1,Wrong Item,42.14,22.93
O502182,2025-07-31,P2039,1,Size/Fit,225.55,92.05
O502197,2026-05-01,P2071,1,Wrong Item,202.22,75.84
O502235,2025-07-18,P2009,1,Quality Issue,195.13,92.53
O502243,2025-04-07,P2027,1,Size/Fit,103.84,43.01
O502266,2025-07-01,P2003,1,Size/Fit,246.21,107.36
O502309,2025-12-09,P2029,1,Size/Fit,55.54,34.45
O502315,2025-10-23,P2069,1,Size/Fit,175.87,94.13
O502320,2025-11-30,P2007,1,Damaged,138.2,84.69
O502323,2026-01-10,P2067,1,Quality Issue,177.38,92.98
O502337,2025-12-26,P2008,1,Damaged,126.24,67.61
O502348,2026-06-08,P2034,2,Damaged,413.82,172.98
O502350,2025-09-18,P2076,1,Wrong Item,153.36,97.83
O502359,2025-11-25,P2078,1,Changed Mind,151.9,84.49
O502362,2026-04-07,P2019,2,Size/Fit,122.06,60.42
O502403,2025-06-24,P2030,1,Size/Fit,160.67,84.94
O502405,2025-03-26,P2074,1,Changed Mind,130.38,64.03
O502413,2025-10-13,P2008,1,Quality Issue,126.24,67.61
O502444,2025-05-22,P2077,1,Size/Fit,190.12,102.86
O502464,2026-04-02,P2045,2,Damaged,219.84,113.24
O502485,2025-04-28,P2065,1,Quality Issue,160.54,77.72
O502509,2025-03-31,P2073,1,Size/Fit,278.8,107.03
O502517,2025-06-25,P2028,1,Changed Mind,76.08,52.71
O502519,2025-05-06,P2066,1,Changed Mind,45.94,24.73
O502548,2026-07-04,P2073,1,Quality Issue,278.8,107.03
O502558,2026-04-26,P2053,1,Changed Mind,175.96,99.23
O502559,2025-01-21,P2002,1,Damaged,61.12,39.66
O502561,2025-05-12,P2068,1,Size/Fit,128.05,57.96
O502594,2025-09-25,P2008,1,Wrong Item,126.24,67.61
O502637,2025-03-17,P2024,1,Quality Issue,85.56,42.14
O502643,2026-05-09,P2038,1,Quality Issue,100.85,65.48
O502668,2026-05-13,P2043,1,Damaged,56.92,37.93
O502676,2025-06-20,P2026,1,Wrong Item,63.53,29.38
O502687,2026-07-09,P2067,2,Wrong Item,354.76,182.46
O502692,2025-10-14,P2048,2,Quality Issue,130.24,55.52
O502693,2025-04-30,P2026,1,Changed Mind,63.53,29.38
O502704,2026-03-10,P2064,1,Quality Issue,194.3,96.32
O502752,2026-06-28,P2068,1,Size/Fit,128.05,57.96
O502847,2026-07-02,P2077,1,Quality Issue,190.12,102.86
O502884,2025-05-30,P2051,1,Damaged,56.25,24.59
O502886,2025-08-29,P2072,1,Wrong Item,152.66,89.35
O502891,2026-04-06,P2063,1,Size/Fit,241.07,111.29
O502896,2025-06-21,P2023,1,Quality Issue,207.17,102.93
O502942,2026-02-17,P2046,2,Size/Fit,159.16,87.3
O502955,2025-03-18,P2052,1,Size/Fit,212.17,88.63
O502958,2026-07-20,P2035,2,Damaged,170.26,69.58
O502972,2025-09-08,P2005,2,Quality Issue,78.76,46.34
O502983,2025-06-13,P2055,1,Damaged,29.55,18.44
O503012,2025-05-02,P2056,1,Changed Mind,29.13,15.68
O503038,2026-02-18,P2058,2,Size/Fit,249.74,116.12
O503044,2025-03-11,P2013,1,Size/Fit,32.18,18.41
O503076,2025-07-04,P2032,1,Quality Issue,176.17,87.09
O503094,2025-09-24,P2004,1,Size/Fit,229.05,85.63
O503109,2026-03-23,P2069,1,Wrong Item,175.87,94.13
O503119,2025-10-19,P2002,1,Quality Issue,61.12,39.66
O503166,2025-02-04,P2028,1,Wrong Item,76.08,52.71
O503183,2025-12-09,P2003,1,Changed Mind,246.21,107.36
O503204,2025-10-17,P2021,1,Size/Fit,147.18,78.69
O503221,2025-10-19,P2052,2,Size/Fit,424.34,173.76
O503240,2025-02-18,P2068,1,Changed Mind,128.05,57.96
O503253,2025-05-03,P2061,1,Changed Mind,150.56,95.96
O503258,2026-01-21,P2013,1,Changed Mind,32.18,18.41
O503277,2026-05-05,P2052,1,Damaged,212.17,88.63
O503301,2026-06-21,P2051,2,Quality Issue,112.5,45.68
O503310,2026-01-17,P2006,1,Damaged,200.16,94.33
O503384,2026-03-05,P2011,2,Quality Issue,87.24,54.68
O503401,2025-09-20,P2079,1,Size/Fit,150.73,79.61
O503407,2025-09-29,P2047,1,Size/Fit,36.37,27.45
O503430,2026-01-09,P2002,1,Size/Fit,61.12,39.66
O503449,2025-03-09,P2050,1,Quality Issue,83.27,51.12
O503462,2025-04-18,P2048,1,Size/Fit,65.12,29.51
O503482,2026-05-19,P2027,1,Damaged,103.84,43.01
O503518,2026-01-14,P2030,1,Damaged,160.67,84.94
O503535,2025-09-09,P2074,1,Changed Mind,130.38,64.03
O503561,2025-02-11,P2057,1,Changed Mind,53.8,28.05
O503571,2025-11-01,P2066,1,Quality Issue,45.94,24.73
O503598,2026-06-09,P2054,1,Changed Mind,50.24,22.92
O503613,2026-04-26,P2046,1,Size/Fit,79.58,45.4
O503619,2025-10-16,P2034,1,Changed Mind,206.91,88.24
O503623,2026-01-23,P2023,1,Quality Issue,207.17,102.93
O503628,2025-04-21,P2076,1,Size/Fit,153.36,97.83
O503629,2026-03-28,P2062,1,Quality Issue,151.88,73.21
O503665,2026-01-05,P2065,1,Size/Fit,160.54,77.72
O503677,2026-02-21,P2073,1,Quality Issue,278.8,107.03
O503689,2026-04-07,P2064,1,Changed Mind,194.3,96.32
O503702,2026-06-11,P2019,1,Size/Fit,61.03,31.96
O503706,2025-02-17,P2028,1,Size/Fit,76.08,52.71
O503716,2025-06-22,P2071,1,Damaged,202.22,75.84
O503757,2025-03-06,P2061,1,Size/Fit,150.56,95.96
O503777,2025-05-07,P2013,2,Changed Mind,64.36,33.32
O503815,2026-06-26,P2037,1,Wrong Item,42.14,22.93
O503823,2026-01-15,P2079,1,Wrong Item,150.73,79.61
O503842,2025-06-30,P2029,1,Quality Issue,55.54,34.45
O503879,2026-01-26,P2031,1,Damaged,117.07,58.03
O503890,2026-04-02,P2077,2,Wrong Item,380.24,202.22
O503893,2026-02-26,P2060,1,Changed Mind,225.41,95.43
O503900,2025-02-02,P2048,1,Damaged,65.12,29.51
O503909,2025-07-07,P2022,2,Damaged,158.92,82.88
O503910,2025-04-23,P2019,1,Damaged,61.03,31.96
O503912,2026-05-01,P2025,1,Quality Issue,149.3,63.12
O503913,2025-09-16,P2034,1,Changed Mind,206.91,88.24
O503919,2025-08-25,P2025,1,Changed Mind,149.3,63.12
O503952,2025-06-02,P2076,1,Damaged,153.36,97.83
O504009,2025-02-12,P2019,1,Damaged,61.03,31.96
O504062,2025-05-25,P2078,2,Damaged,303.8,165.48
O504107,2026-05-13,P2022,1,Quality Issue,79.46,43.19
O504111,2026-02-25,P2006,1,Damaged,200.16,94.33
O504117,2026-03-02,P2061,1,Size/Fit,150.56,95.96
O504127,2026-07-18,P2028,1,Size/Fit,76.08,52.71
O504129,2025-10-19,P2061,2,Size/Fit,301.12,188.42
O504212,2026-06-11,P2041,2,Quality Issue,209.32,109.8
O504256,2026-01-20,P2023,1,Changed Mind,207.17,102.93
O504273,2025-10-02,P2072,1,Damaged,152.66,89.35
O504291,2025-02-23,P2051,1,Damaged,56.25,24.59
O504335,2025-08-29,P2006,1,Damaged,200.16,94.33
O504347,2025-07-02,P2037,1,Changed Mind,42.14,22.93
O504352,2025-04-05,P2069,1,Size/Fit,175.87,94.13
O504387,2026-03-14,P2024,1,Quality Issue,85.56,42.14
O504420,2025-01-23,P2058,1,Size/Fit,124.87,59.81
O504439,2026-01-06,P2037,1,Size/Fit,42.14,22.93
O504455,2025-12-16,P2014,1,Size/Fit,279.48,109.1
O504467,2025-04-29,P2000,1,Quality Issue,46.3,23.51
O504474,2025-10-28,P2061,1,Changed Mind,150.56,95.96
O504493,2026-05-06,P2049,1,Quality Issue,173.14,79.14
O504500,2025-05-30,P2043,1,Wrong Item,56.92,37.93
O504509,2025-12-12,P2073,1,Damaged,278.8,107.03
O504514,2025-10-30,P2065,1,Size/Fit,160.54,77.72
O504560,2025-10-25,P2016,1,Size/Fit,66.65,27.49
O504569,2025-11-08,P2011,1,Changed Mind,43.62,29.09
O504605,2026-01-20,P2031,1,Changed Mind,117.07,58.03
O504617,2025-12-12,P2077,1,Size/Fit,190.12,102.86
O504641,2025-10-21,P2023,2,Wrong Item,414.34,202.36
O504668,2026-04-26,P2031,1,Size/Fit,117.07,58.03
O504689,2025-06-09,P2047,1,Quality Issue,36.37,27.45
O504699,2026-03-13,P2074,1,Changed Mind,130.38,64.03
O504742,2025-03-01,P2037,1,Changed Mind,42.14,22.93
O504746,2025-04-22,P2044,1,Damaged,166.51,99.89
O504756,2025-10-21,P2065,2,Damaged,321.08,151.94
O504779,2026-03-20,P2021,1,Damaged,147.18,78.69
O504849,2025-07-30,P2031,1,Wrong Item,117.07,58.03
O504863,2026-03-15,P2004,1,Wrong Item,229.05,85.63
O504936,2025-02-22,P2032,2,Wrong Item,352.34,170.68
O504963,2026-02-02,P2029,1,Size/Fit,55.54,34.45
O504997,2026-02-17,P2067,1,Damaged,177.38,92.98
O505019,2025-10-10,P2056,1,Damaged,29.13,15.68
O505024,2025-03-13,P2074,1,Size/Fit,130.38,64.03
O505038,2026-02-07,P2042,1,Damaged,43.17,24.86
O505059,2025-08-13,P2031,2,Damaged,234.14,112.56
O505079,2025-08-03,P2066,1,Wrong Item,45.94,24.73
O505111,2025-06-25,P2000,1,Size/Fit,46.3,23.51
O505117,2026-01-11,P2022,2,Quality Issue,158.92,82.88
O505120,2025-12-22,P2038,1,Damaged,100.85,65.48
O505122,2025-09-26,P2010,1,Changed Mind,212.84,109.08
O505173,2025-11-15,P2010,1,Damaged,212.84,109.08
O505216,2025-06-07,P2015,1,Changed Mind,56.68,36.17
O505257,2025-09-24,P2047,1,Quality Issue,36.37,27.45
O505270,2025-04-08,P2004,1,Wrong Item,229.05,85.63
O505276,2026-03-31,P2028,1,Changed Mind,76.08,52.71
O505320,2025-06-26,P2071,1,Size/Fit,202.22,75.84
O505364,2026-07-03,P2021,1,Quality Issue,147.18,78.69
O505366,2025-01-13,P2067,2,Size/Fit,354.76,182.46
O505386,2026-01-08,P2065,1,Damaged,160.54,77.72
O505387,2025-04-10,P2034,1,Changed Mind,206.91,88.24
O505391,2026-05-08,P2036,1,Changed Mind,186.92,83.07
O505396,2025-11-05,P2008,1,Changed Mind,126.24,67.61
O505401,2025-02-19,P2002,1,Quality Issue,61.12,39.66
O505485,2025-06-03,P2000,1,Changed Mind,46.3,23.51
O505486,2025-06-03,P2042,1,Damaged,43.17,24.86
O505501,2025-04-30,P2024,1,Wrong Item,85.56,42.14
O505568,2025-11-13,P2044,1,Wrong Item,166.51,99.89
O505574,2025-03-24,P2028,1,Quality Issue,76.08,52.71
O505586,2025-01-30,P2074,2,Damaged,260.76,124.56
O505602,2025-05-31,P2072,1,Quality Issue,152.66,89.35
O505614,2025-05-16,P2048,1,Damaged,65.12,29.51
O505617,2025-08-07,P2072,1,Damaged,152.66,89.35
O505630,2025-07-04,P2058,1,Wrong Item,124.87,59.81
O505637,2025-07-10,P2035,1,Changed Mind,85.13,36.54
O505643,2026-05-22,P2060,1,Quality Issue,225.41,95.43
O505647,2025-12-10,P2018,1,Changed Mind,60.58,26.6
O505679,2025-11-28,P2056,1,Quality Issue,29.13,15.68
O505680,2026-01-15,P2051,1,Quality Issue,56.25,24.59
O505702,2025-12-06,P2026,1,Quality Issue,63.53,29.38
O505741,2026-02-14,P2006,1,Quality Issue,200.16,94.33
O505770,2025-03-29,P2071,2,Size/Fit,404.44,148.18
O505787,2025-11-08,P2005,1,Quality Issue,39.38,24.92
O505795,2026-05-25,P2042,1,Changed Mind,43.17,24.86
O505813,2026-06-03,P2010,1,Wrong Item,212.84,109.08
O505837,2025-02-18,P2044,1,Damaged,166.51,99.89
O505852,2025-10-14,P2044,1,Quality Issue,166.51,99.89
O505896,2026-04-28,P2007,1,Size/Fit,138.2,84.69
O505944,2026-05-07,P2025,1,Size/Fit,149.3,63.12
O505946,2025-03-04,P2062,1,Changed Mind,151.88,73.21
O505953,2025-11-21,P2050,1,Quality Issue,83.27,51.12
O505960,2025-12-25,P2008,2,Wrong Item,252.48,131.72
O505996,2025-06-29,P2025,1,Wrong Item,149.3,63.12
O506001,2025-03-15,P2024,1,Changed Mind,85.56,42.14
O506078,2026-06-01,P2074,1,Changed Mind,130.38,64.03
O506087,2025-06-24,P2032,1,Quality Issue,176.17,87.09
O506094,2025-07-16,P2034,1,Changed Mind,206.91,88.24
O506107,2025-12-09,P2045,1,Damaged,109.92,58.37
O506128,2025-03-18,P2010,1,Size/Fit,212.84,109.08
O506135,2025-09-14,P2024,1,Quality Issue,85.56,42.14
O506155,2025-07-23,P2002,1,Changed Mind,61.12,39.66
O506166,2026-06-10,P2060,1,Quality Issue,225.41,95.43
O506195,2026-06-22,P2046,1,Changed Mind,79.58,45.4
O506202,2025-10-22,P2042,1,Size/Fit,43.17,24.86
O506204,2025-12-16,P2025,1,Damaged,149.3,63.12
O506207,2025-03-10,P2029,1,Damaged,55.54,34.45
O506250,2025-03-11,P2040,1,Wrong Item,112.16,49.74
O506266,2025-11-20,P2042,1,Changed Mind,43.17,24.86
O506277,2026-05-12,P2055,1,Wrong Item,29.55,18.44
O506286,2025-06-27,P2072,1,Wrong Item,152.66,89.35
O506298,2025-10-20,P2024,2,Quality Issue,171.12,80.78
O506300,2025-03-26,P2021,1,Changed Mind,147.18,78.69
O506315,2025-12-01,P2037,1,Size/Fit,42.14,22.93
O506323,2025-04-25,P2046,1,Changed Mind,79.58,45.4
O506325,2025-11-20,P2024,1,Quality Issue,85.56,42.14
O506335,2026-05-24,P2028,1,Changed Mind,76.08,52.71
O506347,2025-08-14,P2060,1,Size/Fit,225.41,95.43
O506374,2025-08-06,P2031,1,Changed Mind,117.07,58.03
O506393,2025-03-04,P2052,2,Quality Issue,424.34,173.76
O506424,2026-04-07,P2017,1,Quality Issue,69.06,46.14
O506447,2025-05-21,P2077,1,Size/Fit,190.12,102.86
O506448,2025-11-10,P2073,1,Damaged,278.8,107.03
O506454,2026-06-29,P2001,1,Quality Issue,159.31,71.36
O506459,2026-05-12,P2018,1,Quality Issue,60.58,26.6
O506462,2025-08-22,P2000,1,Quality Issue,46.3,23.51
O506468,2025-11-24,P2077,1,Changed Mind,190.12,102.86
O506502,2025-06-08,P2058,1,Damaged,124.87,59.81
O506524,2025-05-06,P2065,1,Quality Issue,160.54,77.72
O506527,2026-04-03,P2072,2,Changed Mind,305.32,175.2
O506544,2025-07-18,P2004,1,Size/Fit,229.05,85.63
O506590,2025-11-23,P2011,1,Damaged,43.62,29.09
O506602,2025-11-07,P2015,1,Size/Fit,56.68,36.17
O506616,2025-11-23,P2026,1,Size/Fit,63.53,29.38
O506619,2026-03-02,P2039,1,Quality Issue,225.55,92.05
O506635,2025-06-11,P2034,1,Size/Fit,206.91,88.24
O506654,2026-06-07,P2011,1,Quality Issue,43.62,29.09
O506656,2025-09-07,P2078,1,Changed Mind,151.9,84.49
O506681,2025-06-26,P2050,1,Size/Fit,83.27,51.12
O506682,2025-09-16,P2075,1,Damaged,125.61,52.99
O506692,2025-10-09,P2048,1,Changed Mind,65.12,29.51
O506732,2025-04-25,P2032,1,Changed Mind,176.17,87.09
O506746,2025-10-26,P2017,1,Size/Fit,69.06,46.14
O506749,2025-02-05,P2035,2,Size/Fit,170.26,69.58
O506788,2026-03-24,P2065,1,Quality Issue,160.54,77.72
O506799,2025-08-01,P2066,1,Size/Fit,45.94,24.73
O506818,2025-09-15,P2024,1,Quality Issue,85.56,42.14
O506880,2025-03-29,P2021,2,Changed Mind,294.36,153.88
O506887,2025-04-23,P2026,2,Quality Issue,127.06,55.26
O506917,2026-03-29,P2034,1,Size/Fit,206.91,88.24
O506937,2025-05-04,P2047,2,Changed Mind,72.74,51.4
O506946,2025-11-30,P2050,1,Damaged,83.27,51.12
O506950,2025-08-15,P2005,1,Quality Issue,39.38,24.92
O506954,2025-06-04,P2024,1,Wrong Item,85.56,42.14
O506994,2025-09-14,P2003,1,Changed Mind,246.21,107.36
O507006,2026-01-21,P2010,2,Wrong Item,425.68,214.66
O507055,2026-05-19,P2069,1,Wrong Item,175.87,94.13
O507066,2026-05-30,P2027,1,Quality Issue,103.84,43.01
O507080,2026-07-05,P2035,1,Damaged,85.13,36.54
O507102,2025-05-30,P2034,1,Size/Fit,206.91,88.24
O507106,2026-02-01,P2012,1,Wrong Item,250.58,95.0
O507156,2026-01-04,P2010,1,Changed Mind,212.84,109.08
O507211,2025-06-14,P2071,1,Quality Issue,202.22,75.84
O507214,2026-03-19,P2024,1,Size/Fit,85.56,42.14
O507232,2025-12-08,P2009,1,Wrong Item,195.13,92.53
O507238,2025-05-27,P2062,1,Quality Issue,151.88,73.21
O507239,2025-11-02,P2014,1,Damaged,279.48,109.1
O507246,2026-03-23,P2012,1,Quality Issue,250.58,95.0
O507265,2025-02-23,P2055,1,Quality Issue,29.55,18.44
O507275,2026-01-03,P2024,2,Size/Fit,171.12,80.78
O507304,2026-03-28,P2068,1,Damaged,128.05,57.96
O507392,2026-01-31,P2070,1,Damaged,185.88,83.91
O507400,2025-06-20,P2073,1,Changed Mind,278.8,107.03
O507420,2025-06-14,P2027,1,Size/Fit,103.84,43.01
O507436,2026-01-27,P2026,1,Size/Fit,63.53,29.38
O507488,2026-02-09,P2051,2,Size/Fit,112.5,45.68
O507505,2025-04-11,P2023,1,Quality Issue,207.17,102.93
O507514,2025-08-03,P2055,1,Changed Mind,29.55,18.44
O507528,2025-09-28,P2056,1,Changed Mind,29.13,15.68
O507530,2025-07-15,P2078,1,Changed Mind,151.9,84.49
O507533,2025-05-11,P2058,1,Size/Fit,124.87,59.81
O507540,2026-04-08,P2000,2,Size/Fit,92.6,43.52
O507543,2025-08-10,P2056,1,Changed Mind,29.13,15.68
O507553,2026-01-18,P2077,1,Damaged,190.12,102.86
O507559,2025-12-31,P2002,1,Changed Mind,61.12,39.66
O507584,2026-06-05,P2037,1,Size/Fit,42.14,22.93
O507623,2025-06-19,P2019,2,Size/Fit,122.06,60.42
O507640,2025-07-16,P2078,1,Damaged,151.9,84.49
O507654,2026-02-09,P2059,1,Size/Fit,192.13,78.08
O507656,2025-08-04,P2022,1,Size/Fit,79.46,43.19
O507674,2026-05-23,P2008,1,Size/Fit,126.24,67.61
O507681,2026-01-08,P2001,1,Size/Fit,159.31,71.36
O507685,2025-05-27,P2010,1,Size/Fit,212.84,109.08
O507718,2025-12-29,P2042,1,Size/Fit,43.17,24.86
O507735,2025-05-24,P2055,1,Changed Mind,29.55,18.44
O507760,2025-04-01,P2009,1,Wrong Item,195.13,92.53
O507881,2026-01-26,P2064,1,Quality Issue,194.3,96.32
O507883,2026-04-16,P2050,1,Changed Mind,83.27,51.12
O507911,2026-05-25,P2015,1,Quality Issue,56.68,36.17
O507917,2026-02-25,P2005,1,Size/Fit,39.38,24.92
O507946,2025-05-10,P2020,1,Changed Mind,147.84,99.78
O507975,2025-07-05,P2009,1,Size/Fit,195.13,92.53
O507989,2026-01-07,P2062,1,Size/Fit,151.88,73.21
O507995,2026-05-27,P2071,1,Size/Fit,202.22,75.84
O508015,2025-01-27,P2056,1,Damaged,29.13,15.68
O508021,2025-07-28,P2025,1,Changed Mind,149.3,63.12
O508022,2025-12-01,P2023,1,Size/Fit,207.17,102.93
O508046,2025-03-11,P2029,1,Damaged,55.54,34.45
O508048,2025-01-15,P2058,1,Changed Mind,124.87,59.81
O508094,2025-10-25,P2039,1,Wrong Item,225.55,92.05
O508096,2026-06-24,P2066,1,Quality Issue,45.94,24.73
O508152,2025-03-25,P2024,1,Damaged,85.56,42.14
O508203,2026-04-04,P2034,1,Size/Fit,206.91,88.24
O508241,2025-04-04,P2077,1,Damaged,190.12,102.86
O508243,2026-04-25,P2063,2,Changed Mind,482.14,219.08
O508246,2026-06-28,P2077,1,Changed Mind,190.12,102.86
O508247,2025-04-04,P2069,1,Changed Mind,175.87,94.13
O508251,2026-01-31,P2003,1,Damaged,246.21,107.36
O508259,2025-07-29,P2074,1,Damaged,130.38,64.03
O508272,2025-09-26,P2062,1,Quality Issue,151.88,73.21
O508285,2025-12-09,P2075,1,Size/Fit,125.61,52.99
O508292,2026-04-10,P2038,1,Size/Fit,100.85,65.48
O508321,2026-03-21,P2061,1,Damaged,150.56,95.96
O508326,2025-02-03,P2001,1,Quality Issue,159.31,71.36
O508349,2025-04-25,P2011,1,Size/Fit,43.62,29.09
O508355,2025-06-22,P2018,1,Size/Fit,60.58,26.6
O508356,2025-03-09,P2011,2,Size/Fit,87.24,54.68
O508361,2026-07-01,P2073,1,Damaged,278.8,107.03
O508375,2026-03-24,P2013,1,Wrong Item,32.18,18.41
O508378,2025-12-25,P2050,1,Wrong Item,83.27,51.12
O508397,2025-09-15,P2016,1,Size/Fit,66.65,27.49
O508405,2025-08-09,P2038,1,Quality Issue,100.85,65.48
O508414,2025-09-27,P2028,1,Changed Mind,76.08,52.71
O508419,2025-04-22,P2066,1,Damaged,45.94,24.73
O508427,2026-01-06,P2027,1,Wrong Item,103.84,43.01
O508429,2025-10-11,P2041,1,Quality Issue,104.66,56.65
O508436,2025-04-14,P2025,1,Wrong Item,149.3,63.12
O508461,2025-06-28,P2033,2,Changed Mind,561.66,208.66
O508467,2026-05-27,P2036,1,Quality Issue,186.92,83.07
O508470,2026-04-05,P2005,2,Wrong Item,78.76,46.34
O508477,2026-03-07,P2018,1,Changed Mind,60.58,26.6
O508482,2026-02-27,P2038,1,Changed Mind,100.85,65.48
O508492,2025-01-28,P2064,1,Changed Mind,194.3,96.32
O508518,2025-10-20,P2065,1,Damaged,160.54,77.72
O508530,2025-05-07,P2059,1,Changed Mind,192.13,78.08
O508531,2026-02-07,P2078,1,Quality Issue,151.9,84.49
